folio,text in tag,before,after
tc_p053v_preTEI,vers la sepmaine saincte,"['4', 'estages', 'de', 'tables', 'larges', 'Volontiers', 'ilz', 'comancent', 'a', 'sespelir']","['Et', 'pour', 'ce', 'faire', 'on', 'les', 'mect', 'dans', 'une', 'boite']"
tc_p053v_preTEI,jour,"['puys', 'les', 'ranger', 'sur', 'les', 'tables', 'Et', 'trois', 'fois', 'le']","['il', 'leur', 'fault', 'changer', 'des', 'foeilles', 'fresches', 'Et', 'sil', 'faict']"
tc_p053v_preTEI,surjour,"['il', 'leur', 'fault', 'changer', 'des', 'foeilles', 'fresches', 'Et', 'sil', 'faict']","['quelque', 'tonnerre', 'ou', 'temps', 'pluvieulx', 'couvert', '&', 'frais', 'il', 'fault']"
tc_p053v_preTEI,despuys leur naissance jusques,"['quand', 'on', 'la', 'tire', 'avecq', 'leau', 'chaulde', 'Despuys', 'Les', 'vers']","['au', 'leur', 'temps', 'quilz', 'font', 'leur', 'coquons', '&', 'leur', 'prison']"
tc_p053v_preTEI,jours,"['4', 'fois', '&', 'a', 'chasque', 'fois', 'demeurent', '4', 'ou', 'cinq']","['assopis', 'sans', 'manger', 'comme', 'silz', 'mouroient', 'pour', 'renaistre', 'une', 'aultre']"
tc_p053v_preTEI,jours,"['&', 'commancent', 'a', 'despoiller', 'la', 'teste', 'puys', 'consequement', 'a', 'divers']","['les', 'reste', 'du', 'corps', '&', 'de', 'blanc', 'viennent', 'grisastres', '&']"
tc_p053v_preTEI,Vers la,"['proffictent', 'elles', 'guere', 'despuys', 'quon', 'la', 'maniee', 'de', 'la', 'main']","['pentecoste', 'elles', 'comancent', 'a', 'vouloir', 'monster', 'a', 'des', 'branches', 'seiches']"
tc_p054r_preTEI,sepmaines,"['avoyr', 'demeure', 'dedans', 'vivant', 'de', 'son', 'propre', 'suc', 'il', 'trois']","['Il', 'sort', 'amoindry', 'de', 'la', 'moictie', 'Car', 'quand', 'il', 'commance']"
tc_p054r_preTEI,sepmaines,"['ont', 'acheve', 'de', 'filer', '&', 'faire', 'leurs', 'oeufs', 'en', 'trois']","['&', 'vers', 'la', 'saint', 'Jehan', 'Et', 'lors', 'on', 'garde', 'leurs']"
tc_p054r_preTEI,vers la ,"['de', 'filer', '&', 'faire', 'leurs', 'oeufs', 'en', 'trois', 'sepmaines', '&']","['saint', 'Jehan', 'Et', 'lors', 'on', 'garde', 'leurs', 'oeufs', '&', 'grene']"
tc_p054r_preTEI,jusques a lasepmaine,"['saint', 'Jehan', 'Et', 'lors', 'on', 'garde', 'leurs', 'oeufs', '&', 'grene']","['saincte', 'comme', 'on', 'dict', 'est', 'Aulcuns', 'filent', 'parmy', 'la', 'foeille']"
